image,mask,pixel_size_um,scalebar_px,crack_length_px,crack_length_um,mode,error
dataset\images_png\sem_02.png,outputs\preds\sem_02.png,0.006510416666666667,1536,97082.17490089679,632.0454095110468,longest,
dataset\images_png\sem_03.png,outputs\preds\sem_03.png,0.006510416666666667,1536,83408.87159103501,543.0265077541343,longest,
dataset\images_png\sem_04.png,outputs\preds\sem_04.png,0.0077459333849728895,1291,82591.66639682812,639.7495460637344,longest,
dataset\images_png\sem_05.png,outputs\preds\sem_05.png,0.006510416666666667,1536,89610.55354977064,583.4020413396527,longest,
dataset\images_png\sem_06.png,outputs\preds\sem_06.png,0.006510416666666667,1536,154901.28309237846,1008.4718951326723,longest,
dataset\images_png\sem_07.png,outputs\preds\sem_07.png,0.006510416666666667,1536,103499.34928368095,673.8238885656311,longest,
dataset\images_png\sem_08.png,outputs\preds\sem_08.png,0.006510416666666667,1536,111517.35627767042,726.0244549327501,longest,
dataset\images_png\sem_09.png,outputs\preds\sem_09.png,0.006510416666666667,1536,76575.98443809219,498.5415653521627,longest,
dataset\images_png\sem_10.png,outputs\preds\sem_10.png,0.006510416666666667,1536,78798.04035400113,513.0080752213615,longest,
dataset\images_png\sem_11.png,outputs\preds\sem_11.png,0.006510416666666667,1536,115533.36796335937,752.1703643447876,longest,
dataset\images_png\sem_12.png,outputs\preds\sem_12.png,0.006510416666666667,1536,137693.2725705243,896.4405766310176,longest,
dataset\images_png\sem_13.png,outputs\preds\sem_13.png,0.006510416666666667,1536,116503.53795181091,758.4865752071023,longest,
dataset\images_png\sem_14.png,outputs\preds\sem_14.png,0.006510416666666667,1536,88192.70961180917,574.171286535216,longest,
dataset\images_png\sem_15.png,outputs\preds\sem_15.png,0.006510416666666667,1536,105741.63564696698,688.422107076608,longest,
dataset\images_png\sem_16.png,outputs\preds\sem_16.png,0.006510416666666667,1536,61078.437262057174,397.6460759248514,longest,
dataset\images_png\sem_17.png,outputs\preds\sem_17.png,0.006510416666666667,1536,106700.75079631536,694.6663463301782,longest,
dataset\images_png\sem_18.png,outputs\preds\sem_18.png,0.006510416666666667,1536,100240.19964644813,652.6054664482301,longest,
dataset\images_png\sem_19.png,outputs\preds\sem_19.png,0.006510416666666667,1536,127629.82733525918,830.9233550472603,longest,
dataset\images_png\sem_20.png,outputs\preds\sem_20.png,0.006510416666666667,1536,95044.36840941422,618.7784401654573,longest,
dataset\images_png\sem_21.png,outputs\preds\sem_21.png,0.006510416666666667,1536,88621.72476371062,576.9643539304077,longest,
dataset\images_png\sem_22.png,outputs\preds\sem_22.png,0.006510416666666667,1536,138671.756477735,902.8109145685874,longest,
dataset\images_png\sem_23.png,outputs\preds\sem_23.png,0.006510416666666667,1536,121427.37964904866,790.5428362568272,longest,
dataset\images_png\sem_24.png,outputs\preds\sem_24.png,0.006510416666666667,1536,117021.81283966078,761.8607606748749,longest,
dataset\images_png\sem_25.png,outputs\preds\sem_25.png,0.006510416666666667,1536,101511.49315241052,660.8821168776727,longest,
dataset\images_png\sem_26.png,outputs\preds\sem_26.png,0.006510416666666667,1536,80691.89056808493,525.337829219303,longest,
dataset\images_png\sem_27.png,outputs\preds\sem_27.png,0.006510416666666667,1536,142788.51873901882,929.6127522071538,longest,
dataset\images_png\sem_28.png,outputs\preds\sem_28.png,0.006510416666666667,1536,142689.30726869014,928.9668441972015,longest,
dataset\images_png\sem_29.png,outputs\preds\sem_29.png,0.006510416666666667,1536,169191.76634334947,1101.5088954645148,longest,
